nome|classes|posicoes|tipo_range|tipo_dano|habilidade_passiva|habilidade_q|habilidade_w|habilidade_e|habilidade_r
Aatrox|Juggernaut|Top|Melee|Physical|Deathbringer Stance - Innate:  Periodically,  Aatrox  empowers his next  basic attack  to gain   50  bonus  range  and deal  bonus  magic damage  equal to  4% − 12% (based on level)  of the target's  maximum  health , capped at 100 against    monsters .   Aatrox     heals  for 80% of the  post-mitigation  bonus  damage  dealt, reduced to 25% against    minions .|The Darkin Blade - Aatrox  can activate  The Darkin Blade  three times before the ability goes on cooldown, with a 1-second  static cooldown  between casts. If  Aatrox  does not recast the ability within 4 seconds of the previous cast, it goes on cooldown.|Infernal Chains - Active:   Aatrox  sends a chain in the target direction that deals  magic damage  to the first enemy hit, doubled against    minions , and    slowing  them for 1. 5  seconds.|Umbral Dash - Passive:   Aatrox     heals  for 16%  (+ 0. 9 % per 100  bonus  health)  of non-   persistent   post-mitigation damage  he deals against enemy champions.|World Ender - Active:   Aatrox  unleashes his true form for 10 seconds,    fearing  nearby enemy    minions  and    monsters  for 3 seconds, during which they are gradually    slowed  by up to 99% over the duration. He also gains    ghosting  and    bonus  movement speed  that decays by 10% of the  current bonus  every 0. 25  seconds, lasting until  World Ender  has ended.
Ahri|Burst|Middle|Ranged|Magic|Essence Theft - Innate:   Ahri  generates a  stack  of  Essence Fragment  whenever she kills a    minion  or    monster . At 9 stacks, she consumes them to   heal  herself for  35 − 95 (based on level)   (+ 20% AP) .|Orb of Deception - Active:   Ahri  sends her orb in the target direction that deals  magic damage  to enemies hit. At maximum range, the orb homes back to her to deal the same in   true damage  to enemies hit.|Fox-Fire - Active:   Ahri  gains   40%  bonus  movement speed  that decays over 2 seconds and conjures three flames which orbit her clockwise for up to 2. 5  seconds.|Charm - Active:   Ahri  blows forth a kiss in the target direction that deals  magic damage  to the first enemy hit,    knocking them down  and    charming  and    slowing  them by 65% for a duration.|Spirit Rush - Active:   Ahri     dashes  to the target location and then fires essence bolts to up to 3 nearby    visible  enemies, each dealing  magic damage .  Spirit Rush  can be recast twice more within 15 seconds of the activation at no additional cost, with a 1-second  static cooldown  between casts. Consuming a champion's essence with    Essence Theft  while  Spirit Rush  is active extends the recast duration by and up to 10 seconds, and grants an additional recast, storing up to 3 recasts at a time.
Akali|Assassin|Middle|Melee|Physical| - Innate:  When  Akali  damages an enemy    champion  with an  ability , she creates a ring around them for 4 seconds, refreshing on subsequent damaging abilities against champions. For 2 seconds, she gains  30 / 40 / 50 / 60% (based on level)     bonus  movement speed  while moving away from the center of the ring. Only one ring may be active at a time.|Five Point Strike - Active:   Akali  unleashes kunais in a cone in the target direction, dealing  magic damage  to enemies hit. Targets beyond a certain range are also    slowed  by 50% for 0. 5  seconds.|Twilight Shroud - Active:   Akali  restores    100 energy  over 0. 4  seconds and gains    bonus  movement speed  that decays over 2 seconds. She also detonates a smoke bomb a fixed distance away in the target direction, creating a circular shroud that expands over the next 5 seconds into a ring. The shroud does not permeate terrain, and will expand toward nearby enemy champions. While the shroud is active,  Akali's   maximum  energy  is increased by  100 .|Shuriken Flip - Active:   Akali     flips  backward and, after the cast time, throws a shuriken in the target direction that deals  magic damage  to the first enemy hit.|Perfect Execution - Active:   Akali     dashes  750 units in the direction of the target enemy    champion , dealing  magic damage  to enemies she passes through. If this hits an enemy, she flips over them to continue the dash up to the normal range but for at least another 150 units.
Akshan|Marksman, Assassin|Middle|Ranged|Physical|Dirty Fighting - Innate:  Whenever  Akshan  uses a  basic attack , he fires an additional shot after a delay that deals  50% AD   physical damage , increased to  100% AD  against    minions . If this shot is cancelled, he gains  20 − 75 (based on level)   ×   (1 + 100%  bonus  attack speed)     bonus  movement speed  decaying over 1 second.|Avengerang - Active:   Akshan  throws a boomerang in the target direction that briefly grants    sight  around its trajectory and deals  physical damage  to enemies hit,    revealing  them for 1 second and extending its range each time it hits a target. If this hits an enemy    champion ,  Akshan  gains  bonus  movement speed  that decays over 1 second.|Going Rogue - Passive:   Akshan  marks enemy    champions  that kill allied champions as  Scoundrels  for 60 seconds. If  Akshan  scores a    takedown  against a  Scoundrel  while alive and within 3 seconds of damaging them, he receives an additional    100  and revives all    dead  allied champions that they have slain after 1 second.|Heroic Swing - Active:   Akshan  can activate  Heroic Swing  three times before the ability goes on cooldown, and can use the third cast only after 0. 5  seconds of the second cast.  Akshan  may input an attack or movement command to use the second and third casts.|Comeuppance - Active:   Akshan  locks onto the target enemy champion and begins    channeling  for 2. 5  seconds,    revealing  them as well as    revealing  himself. He gradually stores bullets into his weapon over the duration.
Alistar||Support|Melee|Magic|Triumphant Roar - Innate:   Alistar  generates a  stack  of  Triumph  for each enemy    champion  he    stuns  or    displaces  with his  abilities , and each time a nearby enemy    minion  or non-epic    monster  dies. He generates 7 stacks if a nearby enemy champion or epic monster dies.|Pulverize - Active:   Alistar  smashes the ground beneath him, dealing  magic damage  to nearby enemies and    stunning  and    knocking them up  simultaneously for 1 second.|Headbutt - Active:   Alistar     dashes  to the target enemy's location. If they are within 400 units upon arrival, he deals them  magic damage  and    knocks them back   700 units  over 0. 5  seconds while also    stunning  them for 0. 75  seconds.|Trample - Active:   Alistar  tramples the ground around him every 0. 5  seconds over 5 seconds, becoming    ghosted  and dealing  magic damage  to nearby enemies. Each time this damages at least one enemy champion, he generates a  stack  of  Trample  that lasts for the remaining duration, stacking up to 5 times.|Unbreakable Will - Active:   Alistar     cleanses  himself of all    crowd control . For the next 7 seconds, he reduces incoming damage taken.
Amumu||Support|Melee|Magic|Cursed Touch - Innate:   Amumu's   basic attacks  and    Curse of the Sad Mummy  are empowered to mark enemies with  Curse  for 3 seconds, refreshing on subsequent applications and    Despair's  per-tick damage.|Bandage Toss - Active:   Amumu  throws a bandage in the target direction that deals  magic damage  to the first enemy hit,    stunning  them for 1 second and    pulling  him to them, during which they are    revealed .|Despair - Toggle:   Amumu  cries a continuous pool of tears, dealing  magic damage  every 0. 5  seconds to nearby enemies.|Tantrum - Passive:   Amumu  reduces every instance of  pre-mitigation   physical damage  taken, capped at 50% of the damage instance.|Curse of the Sad Mummy - Active:   Amumu  entangles nearby enemies in bandages, dealing  magic damage  as well as    knocking down  and    stunning  them for 1. 5  seconds.
Anivia|Battlemage|Middle|Ranged|Magic|Rebirth - Innate:  Periodically, upon taking    fatal damage ,  Anivia  enters    resurrection  for 6 seconds and restores all of her    health .|Flash Frost - Active:   Anivia  launches a chunk of ice in the target direction that deals  magic damage  to enemies hit and    slows  them by  20% − 40% (based on    Glacial Storm's  Rank)  for 3 seconds.|Crystallize - Active:   Anivia  summons a wall of ice at the target location perpendicular to her facing,    knocking  all units away from it, though not through terrain. The wall lingers as impassable terrain for 5 seconds.|Frostbite - Passive:  Enemies hit by    Flash Frost  or a fully formed    Glacial Storm  become  Chilled  for 3 seconds, refreshing on subsequent hits.|Glacial Storm - Active:   Anivia  calls forth a driving rain of ice and hail at the target location, dealing  magic damage  every 0. 5  seconds to enemies within and    slowing  them for 1 second, refreshing every 0. 5  seconds while they remain inside.
Annie|Burst|Middle|Ranged|Magic|Pyromania - Innate - Pyromania:   Annie  generates a  stack  of  Pyromania  whenever she hits an enemy with    Disintegrate  or casts her other  abilities , stacking up to 4 times, at which she gains  Energized .|Disintegrate - Active:   Annie  hurls a fireball at the target enemy that deals  magic damage .|Incinerate - Active:   Annie  releases fire in a cone in the target direction, dealing  magic damage  to enemies hit.|Molten Shield - Active:   Annie  grants herself or the target allied    champion  and    Tibbers  a    shield  for 3 seconds and  20% − 50% (based on level)     bonus  movement speed  that decays over 1. 5  seconds.|Summon: Tibbers - Active:   Annie  summons    Tibbers  to the target location in a burst of flame, dealing  magic damage  to enemies near him.  Summon: Tibbers  can be recast at any time while    Tibbers  is alive.
Aphelios|Marksman|Bottom|Ranged|Physical|The Hitman and the Seer - Innate:   Aphelios  has access to an arsenal of 5  Moonstone Weapons , created by his sister  Alune . He equips two weapons at any one time, one as his  main weapon  and one as his  off-hand . Each weapon has a unique  basic attack  and passive effect.|Weapons of the Faithful - The active effect of  Aphelios'    varies based on his current  main weapon .|Phase - Active:   Aphelios  switches between his  main weapon  and  off-hand  weapon over 0. 25  seconds.|Weapon Queue System - The icon of this ability reflects the next weapon that is in reserve.|Moonlight Vigil - Active:   Aphelios  casts forth a lunar spotlight in the target direction that briefly grants    sight  of the area along its path and stops upon illuminating an enemy    champion .  Alune  smites the area centered on the illuminated target, dealing  125 / 175 / 225 (based on level)   (+ 20%  bonus  AD)   (+ 100% AP)   physical damage  to enemy champions struck and locking-on to each target hit, as well as granting    sight  of the area for 2 seconds.
Ashe|Marksman|Support|Ranged|Physical|Frost Shot - Innate - Frost Shot:   Ashe's   basic attacks  and  ability  hits apply  Frost  to enemies for 2 seconds, which    slows  them by  20% − 30% (based on level)  for the duration. Basic attacks against enemies with  Frost  are modified to deal 115%  (+ (75% +    40% ) of critical strike chance)  damage.| - Passive:  While  Ranger's Focus  is inactive,  Ashe's  basic attacks  on-attack  generate a  stack  of  Focus  for 4 seconds, which refreshes on subsequent attacks and stacks up to 4 times. Stacks expire by one every 1 second.|Volley - Active:   Ashe  shoots a volley of arrows in a cone in the target direction, each dealing  physical damage  to the first enemy hit, and applying    Critical Slow  to enemy    champions  hit.|Hawkshot - Active:   Ashe  sends a hawk spirit toward the target location, granting    sight  of the area along its path 「 repeatedly for 0. 5  seconds after every 100 units traveled 」 「 for effectively up-to 1. 8  seconds at any location 」 and at its destination for 5 seconds.|Enchanted Crystal Arrow - Active:   Ashe  fires a massive arrow of ice in the target direction, granting    sight  of the  area  it flies through each for 1 second. The arrow shatters upon hitting an enemy    champion , dealing them  magic damage ,    stunning  them for  1 − 3. 5  (based on distance traveled)  seconds, and granting    sight  of the area around them for 1 second.
